INFO 2020-10-04 10:25:48,094 autoreload 578 Watching for file changes with StatReloader
INFO 2020-10-04 10:26:16,248 basehttp 154 "GET / HTTP/1.1" 200 16348
INFO 2020-10-04 10:26:16,272 basehttp 154 "GET /static/admin/css/fonts.css HTTP/1.1" 200 423
INFO 2020-10-04 10:26:16,293 basehttp 154 "GET /static/admin/fonts/Roboto-Regular-webfont.woff HTTP/1.1" 200 85876
INFO 2020-10-04 10:26:16,295 basehttp 154 "GET /static/admin/fonts/Roboto-Bold-webfont.woff HTTP/1.1" 200 86184
INFO 2020-10-04 10:26:16,298 basehttp 154 "GET /static/admin/fonts/Roboto-Light-webfont.woff HTTP/1.1" 200 85692
INFO 2020-10-04 10:35:28,324 autoreload 203 C:\Users\LENOVO\Desktop\Study\逻辑教育Python开发全栈\Python_Full_Stack_LogicEDU\Django_Project\Django_Ecommerce\Django_Ecommerce\dev.py changed, reloading.
INFO 2020-10-04 10:35:29,374 autoreload 578 Watching for file changes with StatReloader
INFO 2020-10-04 10:38:21,311 autoreload 203 C:\Users\LENOVO\Desktop\Study\逻辑教育Python开发全栈\Python_Full_Stack_LogicEDU\Django_Project\Django_Ecommerce\Django_Ecommerce\dev.py changed, reloading.
INFO 2020-10-04 10:38:22,333 autoreload 578 Watching for file changes with StatReloader
INFO 2020-10-04 10:38:31,654 basehttp 154 "GET / HTTP/1.1" 200 16348
INFO 2020-10-04 10:38:31,845 basehttp 154 "GET /static/admin/css/fonts.css HTTP/1.1" 200 423
WARNING 2020-10-04 10:38:31,883 log 222 Not Found: /favicon.ico
WARNING 2020-10-04 10:38:31,884 basehttp 154 "GET /favicon.ico HTTP/1.1" 404 1982
INFO 2020-10-04 10:38:31,897 basehttp 154 "GET /static/admin/fonts/Roboto-Regular-webfont.woff HTTP/1.1" 200 85876
INFO 2020-10-04 10:38:31,907 basehttp 154 "GET /static/admin/fonts/Roboto-Bold-webfont.woff HTTP/1.1" 200 86184
INFO 2020-10-04 10:38:31,923 basehttp 154 "GET /static/admin/fonts/Roboto-Light-webfont.woff HTTP/1.1" 200 85692
WARNING 2020-10-04 10:38:54,792 basehttp 154 "GET /static/iamges/adv01.jpg HTTP/1.1" 404 1672
INFO 2020-10-04 10:39:07,223 autoreload 578 Watching for file changes with StatReloader
WARNING 2020-10-04 10:39:37,273 basehttp 154 "GET /static/iamges/adv01.jpg HTTP/1.1" 404 1672
INFO 2020-10-04 10:39:52,748 basehttp 154 "GET /static/images/adv01.jpg HTTP/1.1" 200 39831
INFO 2020-10-04 10:40:01,533 basehttp 154 "GET /static/images/banner01.jpg HTTP/1.1" 200 23658
INFO 2020-10-04 10:52:20,314 autoreload 203 C:\Users\LENOVO\Desktop\Study\逻辑教育Python开发全栈\Python_Full_Stack_LogicEDU\Django_Project\Django_Ecommerce\Django_Ecommerce\urls.py changed, reloading.
INFO 2020-10-04 10:52:21,291 autoreload 578 Watching for file changes with StatReloader
INFO 2020-10-04 10:52:51,875 autoreload 203 C:\Users\LENOVO\Desktop\Study\逻辑教育Python开发全栈\Python_Full_Stack_LogicEDU\Django_Project\Django_Ecommerce\Django_Ecommerce\urls.py changed, reloading.
INFO 2020-10-04 10:52:52,939 autoreload 578 Watching for file changes with StatReloader
INFO 2020-10-04 10:53:06,993 autoreload 203 C:\Users\LENOVO\Desktop\Study\逻辑教育Python开发全栈\Python_Full_Stack_LogicEDU\Django_Project\Django_Ecommerce\Django_Ecommerce\urls.py changed, reloading.
INFO 2020-10-04 10:53:07,990 autoreload 578 Watching for file changes with StatReloader
INFO 2020-10-04 10:53:32,077 basehttp 154 "GET / HTTP/1.1" 200 38951
INFO 2020-10-04 10:53:32,261 basehttp 154 "GET /static/css/reset.css HTTP/1.1" 200 638
INFO 2020-10-04 10:53:32,265 basehttp 154 "GET /static/js/axios-0.18.0.min.js HTTP/1.1" 200 12941
INFO 2020-10-04 10:53:32,266 basehttp 154 "GET /static/css/main.css HTTP/1.1" 200 40091
INFO 2020-10-04 10:53:32,270 basehttp 154 "GET /static/js/common.js HTTP/1.1" 200 891
INFO 2020-10-04 10:53:32,273 basehttp 154 "GET /static/js/slide.js HTTP/1.1" 200 1822
INFO 2020-10-04 10:53:32,274 basehttp 154 "GET /static/js/jquery-1.12.4.min.js HTTP/1.1" 200 97163
WARNING 2020-10-04 10:53:32,278 basehttp 154 "GET /static/js/index.js HTTP/1.1" 404 1657
INFO 2020-10-04 10:53:32,279 basehttp 154 "GET /static/js/vue-2.5.16.js HTTP/1.1" 200 289307
INFO 2020-10-04 10:53:32,298 basehttp 154 "GET /static/images/1.png HTTP/1.1" 200 3555
